agency,name,alt_name,alt_lang,age,final_rank
Individual trainee,Park Seo-young,박서영,ko,20,55
Individual trainee,Park Jinny,박진희,ko,21,69
8D,Kang Hye-won,강혜원,ko,20,8
A team,Kim Cho-yeon,김초연,ko,18,50
Banana Culture,Kim Na-young,김나영,ko,17,21
Banana Culture,Kim Da-hye,김다혜,ko,17,75
Blockberry,Ko Yu-jin,고유진,ko,19,31
CNC,Lee Yu-jeong,이유정,ko,15,51
CNC,Yoon Eun-bin,윤은빈,ko,15,65
CNC,Kim Da-yeon,김다연,ko,16,70
CNC,Hong Ye-ji,홍예지,ko,17,78
CNC,Kim Yu-bin,김유빈,ko,17,88
Collazoo Company,Kim Hyun-ah,김현아,ko,24,46
Cube,Han Cho-won,한초원,ko,17,13
Fave,Shin Su-hyun,신수현,ko,23,61
FENT,Kim Do-ah,김도아,ko,16,23
FNC,Park Hae-yoon,박해윤,ko,23,19
FNC,Cho Ah-yeong,조아영,ko,18,72
HOW,Kim Min-seo,김민서,ko,17,44
HOW,Yu Min-young,유민영,ko,19,54
HOW,Wang Ke,王珂,zh,19,56
Million Market,Son Eun-chae,손은채,ko,20,32
Million Market,Cho Sa-rang,조사랑,ko,16,89
MMO,Won Seo-yeon,원서연,ko,19,92
MND17,Park Min-ji,박민지,ko,20,53
MND17,Park Chan-ju,박찬주,ko,20,68
MND17,Lee Chae-jeong,이채정,ko,20,79
MNH,Lee Ha-eun,이하은,ko,15,48
Pledis,Lee Ga-eun,이가은,ko,25,14
Pledis,Huh Yun-jin,허윤진,ko,18,26
RBW,Na Go-eun,나고은,ko,20,29
RBW,Park Ji-eun,박지은,ko,22,80
Starship,Jang Won-young,장원영,ko,15,1
Starship,Ahn Yu-jin,안유진,ko,16,5
Starship,Cho Ka-hyeon,조가현,ko,16,57
Stone Music,Jo Yu-ri,조유리,ko,18,3
Stone Music,Jang Gyu-ri,장규리,ko,22,25
Stone Music,Lee Si-an,이시안,ko,20,30
Stone Music,Bae Eun-yeong,배은영,ko,22,36
Music Works,Yoon Hae-sol,윤해솔,ko,22,35
Music Works,Choi So-eun,최소은,ko,18,90
Urban Works,Kim Min-ju,김민주,ko,18,11
Wellmade Yedang,Hwang So-yeon,황소연,ko,19,60
Wellmade Yedang,Kang Da-min,강다민,ko,15,62
WM,Lee Chae-yeon,이채연,ko,19,12
WM,Lee Seung-hyeon,이승현,ko,18,73
WM,Cho Yeong-in,조영인,ko,18,84
Woollim,Kwon Eun-bi,권은비,ko,24,7
Woollim,Kim Chae-won,김채원,ko,19,10
Woollim,Kim So-hee,김소희,ko,16,43
Woollim,Kim Su-yun,김수윤,ko,18,47
YGKPlus,Choi Yeon-soo,최연수,ko,20,66
YGKPlus,Ahn Ye-won,안예원,ko,18,86
Yuehua,Choi Ye-na,최예나,ko,20,4
Yuehua,Kim Si-hyeon,김시현,ko,20,27
Yuehua,Wang Yi-ren,王怡人,zh,19,28
ZB Label,Alex Christine,알렉스 크리스틴,ko,23,82
AKB48,Hitomi Honda,本田仁美,jp,18,9
AKB48,Miho Miyazaki,宮崎美穂,jp,26,15
AKB48,Juri Takahashi,高橋朱里,jp,22,16
AKB48,Miyu Takeuchi,竹内美宥,jp,23,17
AKB48,Miu Shitao,下尾みう,jp,18,18
AKB48,Moe Goto,後藤萌咲,jp,18,24
AKB48,Erii Chiba,千葉恵里,jp,16,33
AKB48,Mako Kojima,小嶋真子,jp,22,34
AKB48,Chiyori Nakanishi,中西智代梨,jp,24,37
AKB48,Tomu Muto,武藤十夢,jp,25,38
AKB48,Minami Sato,佐藤美波,jp,16,39
AKB48,Saho Iwatate,岩立沙穂,jp,25,40
AKB48,Nanami Asai,浅井七海,jp,19,42
AKB48,Ikumi Nakano,中野郁海,jp,19,59
AKB48,Shinobu Mogi,茂木忍,jp,22,63
AKB48,Erina Oda,小田えりな,jp,22,64
AKB48,Serika Nagano,永野芹佳,jp,18,77
AKB48,Manami Ichikawa,市川愛美,jp,20,81
AKB48,Ayana Shinozaki,篠崎彩奈,jp,23,91
HKT48,Sakura Miyawaki,宮脇咲良,jp,21,2
HKT48,Nako Yabuki,矢吹奈子,jp,18,6
HKT48,Bibian Murakawa,村川緋杏,jp,20,45
HKT48,Misaki Aramaki,荒巻美咲,jp,18,49
HKT48,Aoi Motomura,本村碧唯,jp,22,52
HKT48,Natsumi Matsuoka,松岡菜摘,jp,23,67
HKT48,Mina Imada,今田美奈,jp,22,76
HKT48,Sae Kurihara,栗原紗英,jp,23,83
HKT48,Miku Tanaka,田中美久,jp,18,0
HKT48,Amane Tsukiashi,月足天音,jp,20,0
NGT48,Noe Yamada,山田野絵,jp,20,41
NGT48,Rena Hasegawa,長谷川玲奈,jp,18,71
NMB48,Miru Shiroma,白間美瑠,jp,22,20
NMB48,Sae Murase,村瀬紗英,jp,22,22
NMB48,Yuuka Kato,加藤夕夏,jp,22,74
NMB48,Kokoro Naiki,内木志,jp,22,87
NMB48,Cocona Umeyama,梅山恋和,jp,16,0
NMB48,Azusa Uemura,植村梓,jp,20,0
SKE48,Jurina Matsui,松井珠理奈,jp,22,58
SKE48,Yuka Asai,浅井裕華,jp,16,85
